Date;Poule;niveau_observation;Ponte;Etat_oeuf;Doute;Effectif;Remarques
2023-02-22;Valérie;individuel;0;RAS;False;1;RAS
2023-02-23;MARANS;groupe;0;RAS;False;1;RAS
2023-02-23;Valérie;individuel;0;RAS;False;1;RAS
2023-02-23;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-23;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-23;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-23;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-23;Augustine;individuel;0;RAS;False;1;RAS
2023-02-23;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-24;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-24;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-24;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-24;MARANS;groupe;1;RAS;False;1;RAS
2023-02-24;Pioupioute;individuel;0;RAS;False;1;fin antibio
2023-02-24;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-24;Valérie;individuel;0;RAS;False;1;RAS
2023-02-24;Augustine;individuel;0;RAS;False;1;RAS
2023-02-25;Valérie;individuel;0;RAS;False;1;RAS
2023-02-25;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-25;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-25;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-25;Augustine;individuel;0;RAS;False;1;RAS
2023-02-25;Cunégonde;individuel;1;RAS;False;1;RAS
