Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI;Météo;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat;Météo_Cat
2023-05-26;couvert/pluie;6.0;17.0;;;couvert/pluie;couvert;pluie;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-05-27;beau;0.0;23.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-28;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-29;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-30;beau/orage fort;24.0;27.0;;;beau/orage fort;beau;orage fort;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-05-31;éclaircies;0.0;26.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
2023-06-01;beau/pluie;5.0;24.0;;;beau/pluie;beau;pluie;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-06-02;pluie/éclaircies;1.0;22.0;;;pluie/éclaircies;pluie;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-06-03;beau;0.0;23.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-04;beau/orage;2.0;25.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-05;beau;0.0;26.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-06;beau/pluie;5.0;25.0;;;beau/pluie;beau;pluie;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-06-07;beau;0.0;26.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-08;beau;0.0;27.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-09;beau/orageux;0.0;27.0;;;beau/orageux;beau;orageux;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-10;couvert/orage;3.0;26.0;;;couvert/orage;couvert;orage;;;COUVERT;ORAGE;;;COUVERT|ORAGE
2023-06-11;beau/orageux;0.0;27.0;;;beau/orageux;beau;orageux;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-12;beau/orage;1.0;25.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-13;couvert/orage;31.0;27.0;;;couvert/orage;couvert;orage;;;COUVERT;ORAGE;;;COUVERT|ORAGE
2023-06-14;beau/orage;23.0;24.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-15;pluie/éclaircie;3.0;21.0;;;pluie/éclaircie;pluie;éclaircie;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-06-16;couvert/beau;0.0;25.0;;;couvert/beau;couvert;beau;;;COUVERT;BEAU;;;BEAU|COUVERT
2023-06-17;beau;0.0;26.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-18;beau/orage;11.0;30.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-06-19;mitigé/;0.0;27.0;;;mitigé/;mitigé;;;;INSTABLE;;;;INSTABLE
2023-06-20;couvert/beau;0.0;22.0;;;couvert/beau;couvert;beau;;;COUVERT;BEAU;;;BEAU|COUVERT
2023-06-21;lourd;0.0;25.0;;;lourd;lourd;;;;CHAUD;;;;CHAUD
2023-06-22;orage;7.0;20.0;;;orage;orage;;;;ORAGE;;;;ORAGE
2023-06-23;pluie/éclaircies;6.0;23.0;;;pluie/éclaircies;pluie;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-06-24;beau;0.0;28.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-25;beau;0.0;28.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-26;beau;0.0;32.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-27;couvert;0.0;21.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-06-28;nuageux;0.0;27.0;;;nuageux;nuageux;;;;COUVERT;;;;COUVERT
2023-06-29;beau;0.0;26.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-06-30;nuageux/orage;13.0;24.0;;;nuageux/orage;nuageux;orage;;;COUVERT;ORAGE;;;COUVERT|ORAGE
