Date;Commentaires;œuf trouvé/date de la trouvaille
2025-03-22;œuf mou trouvé dans le poulailler de P+V+T;x 
2025-03-23;;
2025-03-24;grêle et pluie en fin de journée;
2025-03-25;gros temps de merde l’après midi orage grêle pluie;
2025-03-26;;
2025-03-27;;
2025-03-28;vent;
2025-03-29;pluie la nuit/vent;
2025-03-30;;
2025-03-31;;
2025-04-01;;
2025-04-02;vent;
2025-04-03;vent;
2025-04-04;vent;
2025-04-05;;
2025-04-06;;
2025-04-07;;
2025-04-08;;
2025-04-09;;
2025-04-10;vent/oeufs de Tina cassé;
2025-04-11;vent;
2025-04-12;;
2025-04-13;;
2025-04-14;;
2025-04-15;;
2025-04-16;;
2025-04-17;;
2025-04-18;vent;
2025-04-19;vent/alerte jaune orages;
2025-04-20;2 œufs de marans cassés dans le poulailler ce matin (A et N) +1oeuf de A ds le pondoir (cassé);
2025-04-21;;
2025-04-22;;
2025-04-23;vent;
2025-04-24;vent;
2025-04-25;;
2025-04-26;;
2025-04-27;;
2025-04-28;;
2025-04-29;vent;
2025-04-30;vent;
2025-05-01;vent/22°C à 18h;
2025-05-02;vent/sable du Sahara;
2025-05-03;orage vers minuit;
2025-05-04;alerte jaune orage;
2025-05-05;alerte jaune orage inondations/vent;
2025-05-06;vent;
2025-05-07;vent/un œuf de marans trouvé dans le poulailler;
2025-05-08;;
2025-05-09;vent;
2025-05-10;vent/oeuf d’Alberrtine cassé dans le poulailler;
2025-05-11;;
2025-05-12;;
2025-05-13;fortes averses+grêle en fin de journée;
2025-05-14;;
2025-05-15;vent;
2025-05-16;vent;
2025-05-17;;
2025-05-18;;
2025-05-19;vent/alerte orange orages pour l’après midi/tempête en fin de journée;
2025-05-20;vent;
2025-05-21;vent;
2025-05-22;vent;
2025-05-23;;
2025-05-24;;
2025-05-25;;
2025-05-26;;
2025-05-27;;
2025-05-28;;
2025-05-29;;
2025-05-30;;
2025-05-31;;
2025-06-01;alerte jaune orage/orage vers 21h30;
2025-06-02;;
2025-06-03;;
2025-06-04;;
2025-06-05;un œuf de marans trouvé ds le poulailler du coq : Albertine ou Nina/Calcium pour Valérie+P+T;x
2025-06-06;;
2025-06-07;;
2025-06-08;;
2025-06-09;ciel bizarre, fumée du Canada;
2025-06-10;fumée du Canada;
2025-06-11;vent/dernier jour calcium/vit C+oligoélément/fumée Canada;
2025-06-12;fumée du Canada;
2025-06-13;vent/fumée Canada+sable Sahara;
2025-06-14;œuf de Cunégonde trouvé dans le poulailler+1 dans le pondoire aujourd’hui !!!;
2025-06-15;;
2025-06-16;vent;
2025-06-17;;
2025-06-18;vent;
2025-06-19;cure calcium à refaire/vitC ;
2025-06-20;œuf de Tina cassé/vitC;
2025-06-21;exzolt/vitC;
2025-06-22;;
2025-06-23;;
