Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-03-07;Pioupioute;;individuel;
2023-03-07;Cunégonde;x;individuel;
2023-03-07;Rémiel;x;individuel;
2023-03-08;Saquiel;x(cassé);individuel;
2023-03-08;Augustine;;individuel;
2023-03-08;Pioupioute;x(cassé);individuel;
2023-03-08;MARANS;;groupe;MARANS
2023-03-08;Rémiel;;individuel;
2023-03-08;Cunégonde;;individuel;
2023-03-08;Joséphine;x;individuel;
2023-03-08;Valérie;;individuel;
2023-03-09;Joséphine;x;individuel;
2023-03-09;Augustine;;individuel;
2023-03-09;Cunégonde;x;individuel;
2023-03-09;Pioupioute;;individuel;
2023-03-09;Saquiel;;individuel;
2023-03-09;Rémiel;;individuel;
2023-03-09;Valérie;x;individuel;
2023-03-09;MARANS;x;groupe;MARANS
2023-03-10;Augustine;;individuel;
2023-03-10;MARANS;x;groupe;MARANS
2023-03-10;Cunégonde;x;individuel;
2023-03-10;Saquiel;;individuel;
2023-03-10;Rémiel;;individuel;
2023-03-10;Valérie;;individuel;
2023-03-10;Pioupioute;;individuel;
2023-03-10;Joséphine;x;individuel;
2023-03-11;Valérie;x;individuel;
2023-03-11;Pioupioute;x(cassé);individuel;
2023-03-11;Joséphine;x;individuel;
2023-03-11;Rémiel;;individuel;
2023-03-11;Augustine;;individuel;
2023-03-11;Cunégonde;x;individuel;
2023-03-11;Saquiel;;individuel;
2023-03-11;MARANS;;groupe;MARANS
2023-03-12;MARANS;x;groupe;MARANS
2023-03-12;Valérie;x;individuel;
2023-03-12;Rémiel;;individuel;
2023-03-12;Pioupioute;;individuel;
2023-03-12;Joséphine;x;individuel;
2023-03-12;Cunégonde;x;individuel;
2023-03-12;Saquiel;;individuel;
2023-03-12;Augustine;;individuel;
2023-03-13;Saquiel;x(cassé);individuel;
2023-03-13;Cunégonde;;individuel;
2023-03-13;MARANS;;groupe;MARANS
2023-03-13;Augustine;;individuel;
2023-03-13;Valérie;x;individuel;
2023-03-13;Pioupioute;x(cassé);individuel;
2023-03-13;Joséphine;x;individuel;
2023-03-13;Rémiel;x;individuel;
2023-03-14;Rémiel;x;individuel;
2023-03-14;MARANS;x;groupe;MARANS
2023-03-14;Cunégonde;x;individuel;
2023-03-14;Valérie;x;individuel;
2023-03-14;Augustine;;individuel;
2023-03-14;Saquiel;;individuel;
2023-03-14;Joséphine;;individuel;
2023-03-14;Pioupioute;;individuel;
2023-03-15;Augustine;;individuel;
2023-03-15;Rémiel;;individuel;
2023-03-15;Cunégonde;x;individuel;
2023-03-15;Saquiel;;individuel;
2023-03-15;Valérie;x;individuel;
2023-03-15;Pioupioute;;individuel;
2023-03-15;MARANS;;groupe;MARANS
2023-03-15;Joséphine;x;individuel;
2023-03-16;Pioupioute;x;individuel;
2023-03-16;Saquiel;x(cassé);individuel;
2023-03-16;MARANS;x;groupe;MARANS
2023-03-16;Valérie;x;individuel;
2023-03-16;Augustine;;individuel;
2023-03-16;Rémiel;x;individuel;
2023-03-16;Joséphine;x;individuel;
2023-03-16;Cunégonde;x;individuel;
2023-03-17;Joséphine;x;individuel;
2023-03-17;Saquiel;;individuel;
2023-03-17;MARANS;x;groupe;MARANS
2023-03-17;Cunégonde;;individuel;
2023-03-17;Augustine;x;individuel;
2023-03-17;Pioupioute;x;individuel;
2023-03-17;Valérie;x;individuel;
2023-03-17;Rémiel;;individuel;
2023-03-18;Joséphine;x;individuel;
2023-03-18;Augustine;;individuel;
2023-03-18;Valérie;;individuel;
2023-03-18;MARANS;;groupe;MARANS
2023-03-18;Cunégonde;x;individuel;
2023-03-18;Pioupioute;x;individuel;
2023-03-18;Rémiel;x;individuel;
2023-03-18;Saquiel;;individuel;
2023-03-19;Augustine;x;individuel;
2023-03-19;Valérie;x;individuel;
2023-03-19;Cunégonde;x;individuel;
2023-03-19;Saquiel;;individuel;
2023-03-19;Rémiel;x;individuel;
2023-03-19;Joséphine;x;individuel;
2023-03-19;Pioupioute;;individuel;
2023-03-19;MARANS;x;groupe;MARANS
2023-03-20;Valérie;x;individuel;
2023-03-20;Rémiel;x?;individuel;
2023-03-20;Cunégonde;x;individuel;
2023-03-20;Pioupioute;;individuel;
2023-03-20;MARANS;x;groupe;MARANS
2023-03-20;Augustine;;individuel;
2023-03-20;Joséphine;x;individuel;
2023-03-20;Saquiel;;individuel;
2023-03-21;Valérie;;individuel;
2023-03-21;Augustine;x;individuel;
2023-03-21;Rémiel;;individuel;
2023-03-21;Cunégonde;;individuel;
2023-03-21;Joséphine;x;individuel;
2023-03-21;Pioupioute;x;individuel;
2023-03-21;MARANS;;groupe;MARANS
2023-03-21;Saquiel;;individuel;
2023-03-22;MARANS;x;groupe;MARANS
2023-03-22;Saquiel;;individuel;
2023-03-22;Cunégonde;x;individuel;
2023-03-22;Augustine;;individuel;
2023-03-22;Rémiel;x;individuel;
2023-03-22;Valérie;x;individuel;
2023-03-22;Pioupioute;;individuel;
2023-03-22;Joséphine;x;individuel;
2023-03-23;Cunégonde;x;individuel;
2023-03-23;Pioupioute;;individuel;
2023-03-23;Rémiel;;individuel;
2023-03-23;Augustine;x;individuel;
2023-03-23;Saquiel;;individuel;
2023-03-23;Joséphine;x;individuel;
2023-03-23;MARANS;x;groupe;MARANS
2023-03-23;Valérie;;individuel;
2023-03-24;Valérie;x;individuel;
2023-03-24;MARANS;;groupe;MARANS
2023-03-24;Cunégonde;x;individuel;
2023-03-24;Augustine;;individuel;
2023-03-24;Pioupioute;;individuel;
