Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques
2023-12-30;Albertine;x;1;1;RAS;False;
2023-12-31;Albertine;;0;1;RAS;False;
2024-01-01;NINA_TINA;;0;2;RAS;False;
2024-01-01;MARANS_TOTAL;1;1;3;RAS;False;
2024-01-01;Tina;;0;1;RAS;False;
2024-01-01;Nina;;0;1;RAS;False;
2024-01-01;Albertine;x;1;1;RAS;False;
2024-01-02;MARANS_TOTAL;;0;3;RAS;False;
2024-01-02;Albertine;;0;1;RAS;False;
2024-01-02;Tina;;0;1;RAS;False;
2024-01-02;Nina;;0;1;RAS;False;
2024-01-02;NINA_TINA;;0;2;RAS;False;
2024-01-03;MARANS_TOTAL;1;1;3;RAS;False;
2024-01-03;NINA_TINA;;0;2;RAS;False;
2024-01-03;Nina;;0;1;RAS;False;
2024-01-03;Tina;;0;1;RAS;False;
2024-01-03;Albertine;x;1;1;RAS;False;
2024-01-04;NINA_TINA;;0;2;RAS;False;
2024-01-04;Nina;;0;1;RAS;False;
2024-01-04;Tina;;0;1;RAS;False;
2024-01-04;Albertine;;0;1;RAS;False;
2024-01-04;MARANS_TOTAL;;0;3;RAS;False;
2024-01-05;Nina;;0;1;RAS;False;
2024-01-05;Tina;;0;1;RAS;False;
2024-01-05;MARANS_TOTAL;1;1;3;RAS;False;
2024-01-05;NINA_TINA;;0;2;RAS;False;
2024-01-05;Albertine;x;1;1;RAS;False;
2024-01-06;Albertine;;0;1;RAS;False;
2024-01-06;Tina;;0;1;RAS;False;
2024-01-06;MARANS_TOTAL;;0;3;RAS;False;
2024-01-06;NINA_TINA;;0;2;RAS;False;
2024-01-06;Nina;;0;1;RAS;False;
2024-01-07;Albertine;x;1;1;RAS;False;
2024-01-07;Tina;;0;1;RAS;False;
2024-01-07;MARANS_TOTAL;1;1;3;RAS;False;
2024-01-07;Nina;;0;1;RAS;False;
2024-01-07;NINA_TINA;;0;2;RAS;False;
2024-01-08;Tina;;0;1;RAS;False;
2024-01-08;Albertine;;0;1;RAS;False;
2024-01-08;MARANS_TOTAL;;0;3;RAS;False;
2024-01-08;Nina;;0;1;RAS;False;
2024-01-08;NINA_TINA;;0;2;RAS;False;
2024-01-09;Tina;;0;1;RAS;False;
2024-01-09;Albertine;;0;1;RAS;False;
2024-01-09;MARANS_TOTAL;;0;3;RAS;False;
2024-01-09;NINA_TINA;;0;2;RAS;False;
2024-01-09;Nina;;0;1;RAS;False;
2024-01-10;Nina;;0;1;RAS;False;
2024-01-10;Albertine;;0;1;RAS;False;
2024-01-10;MARANS_TOTAL;;0;3;RAS;False;
2024-01-10;NINA_TINA;;0;2;RAS;False;
2024-01-10;Tina;;0;1;RAS;False;
2024-01-11;NINA_TINA;;0;2;RAS;False;
2024-01-11;Albertine;;0;1;RAS;False;
2024-01-11;Tina;;0;1;RAS;False;
2024-01-11;Nina;;0;1;RAS;False;
2024-01-11;MARANS_TOTAL;;0;3;RAS;False;
2024-01-12;NINA_TINA;;0;2;RAS;False;
2024-01-12;MARANS_TOTAL;;0;3;RAS;False;
2024-01-12;Albertine;;0;1;RAS;False;
2024-01-12;Nina;;0;1;RAS;False;
2024-01-12;Tina;;0;1;RAS;False;
2024-01-13;NINA_TINA;;0;2;RAS;False;
2024-01-13;Albertine;;0;1;RAS;False;
2024-01-13;Nina;;0;1;RAS;False;
2024-01-13;Tina;;0;1;RAS;False;
2024-01-13;MARANS_TOTAL;;0;3;RAS;False;
2024-01-14;MARANS_TOTAL;;0;3;RAS;False;
2024-01-14;Tina;;0;1;RAS;False;
2024-01-14;Albertine;;0;1;RAS;False;
2024-01-14;NINA_TINA;;0;2;RAS;False;
2024-01-14;Nina;;0;1;RAS;False;
2024-01-15;NINA_TINA;;0;2;RAS;False;
2024-01-15;Nina;;0;1;RAS;False;
2024-01-15;Tina;;0;1;RAS;False;
2024-01-15;Albertine;;0;1;RAS;False;
2024-01-15;MARANS_TOTAL;;0;3;RAS;False;
2024-01-16;Tina;;0;1;RAS;False;
2024-01-16;Nina;;0;1;RAS;False;
2024-01-16;Albertine;;0;1;RAS;False;
2024-01-16;MARANS_TOTAL;;0;3;RAS;False;
2024-01-16;NINA_TINA;;0;2;RAS;False;
2024-01-17;NINA_TINA;;0;2;RAS;False;
2024-01-17;Nina;;0;1;RAS;False;
2024-01-17;Albertine;;0;1;RAS;False;
2024-01-17;Tina;;0;1;RAS;False;
2024-01-17;MARANS_TOTAL;;0;3;RAS;False;
2024-01-18;NINA_TINA;;0;2;RAS;False;
2024-01-18;MARANS_TOTAL;;0;3;RAS;False;
2024-01-18;Albertine;;0;1;RAS;False;
2024-01-18;Nina;;0;1;RAS;False;
2024-01-18;Tina;;0;1;RAS;False;
2024-01-19;NINA_TINA;;0;2;RAS;False;
2024-01-19;Tina;;0;1;RAS;False;
2024-01-19;MARANS_TOTAL;;0;3;RAS;False;
2024-01-19;Albertine;;0;1;RAS;False;
2024-01-19;Nina;;0;1;RAS;False;
2024-01-20;Albertine;;0;1;RAS;False;
2024-01-20;Nina;;0;1;RAS;False;
2024-01-20;NINA_TINA;;0;2;RAS;False;
2024-01-20;MARANS_TOTAL;;0;3;RAS;False;
2024-01-20;Tina;;0;1;RAS;False;
2024-01-21;MARANS_TOTAL;;0;3;RAS;False;
2024-01-21;Nina;;0;1;RAS;False;
2024-01-21;Albertine;;0;1;RAS;False;
2024-01-21;NINA_TINA;;0;2;RAS;False;
2024-01-21;Tina;;0;1;RAS;False;
2024-01-22;Tina;;0;1;RAS;False;
2024-01-22;Albertine;;0;1;RAS;False;
2024-01-22;Nina;;0;1;RAS;False;
2024-01-22;NINA_TINA;;0;2;RAS;False;
2024-01-22;MARANS_TOTAL;;0;3;RAS;False;
2024-01-23;Nina;;0;1;RAS;False;
2024-01-23;Albertine;;0;1;RAS;False;
2024-01-23;Tina;;0;1;RAS;False;
2024-01-23;NINA_TINA;;0;2;RAS;False;
2024-01-23;MARANS_TOTAL;;0;3;RAS;False;
2024-01-24;MARANS_TOTAL;;0;3;RAS;False;
2024-01-24;Tina;;0;1;RAS;False;
2024-01-24;Nina;;0;1;RAS;False;
2024-01-24;NINA_TINA;;0;2;RAS;False;
2024-01-24;Albertine;;0;1;RAS;False;
2024-01-25;Nina;;0;1;RAS;False;
2024-01-25;NINA_TINA;;0;2;RAS;False;
2024-01-25;Albertine;;0;1;RAS;False;
2024-01-25;Tina;;0;1;RAS;False;
2024-01-25;MARANS_TOTAL;;0;3;RAS;False;
2024-01-26;NINA_TINA;;0;2;RAS;False;
2024-01-26;MARANS_TOTAL;;0;3;RAS;False;
2024-01-26;Nina;;0;1;RAS;False;
2024-01-26;Albertine;;0;1;RAS;False;
2024-01-26;Tina;;0;1;RAS;False;
2024-01-27;Tina;;0;1;RAS;False;
2024-01-27;MARANS_TOTAL;;0;3;RAS;False;
2024-01-27;NINA_TINA;;0;2;RAS;False;
2024-01-27;Albertine;;0;1;RAS;False;
2024-01-27;Nina;;0;1;RAS;False;
2024-01-28;MARANS_TOTAL;;0;3;RAS;False;
2024-01-28;Tina;;0;1;RAS;False;
2024-01-28;NINA_TINA;;0;2;RAS;False;
2024-01-28;Albertine;;0;1;RAS;False;
2024-01-28;Nina;;0;1;RAS;False;
2024-01-29;Nina;;0;1;RAS;False;
2024-01-29;Tina;;0;1;RAS;False;
2024-01-29;MARANS_TOTAL;;0;3;RAS;False;
2024-01-29;NINA_TINA;;0;2;RAS;False;
2024-01-29;Albertine;;0;1;RAS;False;
2024-01-30;Tina;;0;1;RAS;False;
2024-01-30;Albertine;;0;1;RAS;False;
2024-01-30;Nina;;0;1;RAS;False;
2024-01-30;MARANS_TOTAL;1;1;3;RAS;False;
2024-01-30;NINA_TINA;x;1;2;RAS;False;
2024-01-31;Albertine;;0;1;RAS;False;
2024-01-31;Nina;;0;1;RAS;False;
2024-01-31;NINA_TINA;x;1;2;RAS;False;
2024-01-31;Tina;x ?;1;1;RAS;True;
2024-01-31;MARANS_TOTAL;2;2;3;RAS;False;
2024-02-01;Albertine;;0;1;RAS;False;
2024-02-01;Tina;;0;1;RAS;False;
2024-02-01;NINA_TINA;;0;2;RAS;False;
2024-02-01;MARANS_TOTAL;;0;3;RAS;False;
2024-02-01;Nina;;0;1;RAS;False;
2024-02-02;Tina;;0;1;RAS;False;
2024-02-02;Albertine;;0;1;RAS;False;
2024-02-02;Nina;;0;1;RAS;False;
2024-02-02;MARANS_TOTAL;1;1;3;RAS;False;
2024-02-02;NINA_TINA;x;1;2;RAS;False;
2024-02-03;Albertine;;0;1;RAS;False;
2024-02-03;Tina;;0;1;RAS;False;
2024-02-03;Nina;;0;1;RAS;False;
2024-02-03;MARANS_TOTAL;1;1;3;RAS;False;
2024-02-03;NINA_TINA;x;1;2;RAS;False;
2024-02-04;Albertine;;0;1;RAS;False;
2024-02-04;Nina;;0;1;RAS;False;
2024-02-04;Tina;;0;1;RAS;False;
2024-02-04;NINA_TINA;;0;2;RAS;False;
2024-02-04;MARANS_TOTAL;;0;3;RAS;False;
2024-02-05;MARANS_TOTAL;1;1;3;RAS;False;
2024-02-05;Albertine;x;1;1;RAS;False;
2024-02-05;Nina;;0;1;RAS;False;
2024-02-05;NINA_TINA;;0;2;RAS;False;
2024-02-05;Tina;;0;1;RAS;False;
2024-02-06;Albertine;;0;1;RAS;False;
2024-02-06;Nina;;0;1;RAS;False;
2024-02-06;NINA_TINA;;0;2;RAS;False;
2024-02-06;Tina;;0;1;RAS;False;
2024-02-06;MARANS_TOTAL;;0;3;RAS;False;
2024-02-07;Tina;;0;1;RAS;False;
2024-02-07;NINA_TINA;x;1;2;RAS;False;
2024-02-07;Nina;;0;1;RAS;False;
2024-02-07;MARANS_TOTAL;2;2;3;RAS;False;
2024-02-07;Albertine;x;1;1;RAS;False;
2024-02-08;Albertine;;0;1;RAS;False;
