Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-02-01;;individuel;;0;RAS;False;1;;Saquiel
2023-02-01;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-01;;individuel;;0;RAS;False;1;;Augustine
2023-02-01;;individuel;;0;RAS;False;1;;Joséphine
2023-02-02;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-02;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-02;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-02;;individuel;;0;RAS;False;1;;Augustine
2023-02-02;;individuel;;0;RAS;False;1;;Valérie
2023-02-02;x;individuel;;1;RAS;False;1;;Saquiel
2023-02-02;;individuel;;0;RAS;False;1;;Joséphine
2023-02-02;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-03;;individuel;;0;RAS;False;1;;Augustine
2023-02-03;;individuel;;0;RAS;False;1;;Joséphine
2023-02-03;;individuel;;0;RAS;False;1;;Valérie
2023-02-03;;individuel;;0;RAS;False;1;;Rémiel
2023-02-03;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-03;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-03;;individuel;;0;RAS;False;1;;Saquiel
2023-02-03;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-04;;individuel;;0;RAS;False;1;;Augustine
2023-02-04;;individuel;;0;RAS;False;1;;Rémiel
2023-02-04;;individuel;;0;RAS;False;1;;Valérie
2023-02-04;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-04;;individuel;;0;RAS;False;1;;Joséphine
2023-02-04;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-04;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-04;x;individuel;;1;RAS;False;1;;Saquiel
2023-02-05;;individuel;;0;RAS;False;1;;Valérie
2023-02-05;;individuel;;0;RAS;False;1;;Rémiel
2023-02-05;;individuel;;0;RAS;False;1;;Saquiel
2023-02-05;;individuel;;0;RAS;False;1;;Augustine
2023-02-05;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-05;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-05;;individuel;;0;RAS;False;1;;Joséphine
2023-02-05;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-06;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-06;;individuel;;0;RAS;False;1;;Augustine
2023-02-06;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-06;;individuel;;0;RAS;False;1;;Rémiel
2023-02-06;;individuel;;0;RAS;False;1;;Joséphine
2023-02-06;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-06;;individuel;;0;RAS;False;1;;Valérie
2023-02-06;;individuel;;0;RAS;False;1;;Saquiel
2023-02-07;;individuel;;0;RAS;False;1;;Joséphine
2023-02-07;;individuel;;0;RAS;False;1;;Saquiel
2023-02-07;zentonyl;individuel;;0;RAS;False;1;zentonyl;Augustine
2023-02-07;;individuel;;0;RAS;False;1;;Valérie
2023-02-07;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-07;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-07;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-07;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-08;;individuel;;0;RAS;False;1;;Valérie
2023-02-08;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-08;;individuel;;0;RAS;False;1;;Rémiel
2023-02-08;x;individuel;;1;RAS;False;1;;Saquiel
2023-02-08;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-08;;individuel;;0;RAS;False;1;;Augustine
2023-02-08;;individuel;;0;RAS;False;1;;Joséphine
2023-02-08;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-09;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-09;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-09;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-09;;individuel;;0;RAS;False;1;;Valérie
2023-02-09;;individuel;;0;RAS;False;1;;Augustine
2023-02-09;;individuel;;0;RAS;False;1;;Saquiel
2023-02-09;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-09;;individuel;;0;RAS;False;1;;Joséphine
2023-02-10;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-10;;individuel;;0;RAS;False;1;;Valérie
2023-02-10;;individuel;;0;RAS;False;1;;Saquiel
2023-02-10;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-10;;individuel;;0;RAS;False;1;;Augustine
2023-02-10;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-10;;individuel;;0;RAS;False;1;;Rémiel
2023-02-10;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-11;antibio;individuel;;0;RAS;False;1;antibio;Augustine
2023-02-11;;individuel;;0;RAS;False;1;;Saquiel
2023-02-11;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-11;;individuel;;0;RAS;False;1;;Rémiel
2023-02-11;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-11;;individuel;;0;RAS;False;1;;Valérie
2023-02-11;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-11;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-12;;individuel;;0;RAS;False;1;;Saquiel
2023-02-12;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-12;;individuel;;0;RAS;False;1;;Augustine
2023-02-12;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-12;;individuel;;0;RAS;False;1;;Rémiel
2023-02-12;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-12;;individuel;;0;RAS;False;1;;Valérie
2023-02-12;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-13;;individuel;;0;RAS;False;1;;Saquiel
2023-02-13;;individuel;;0;RAS;False;1;;Augustine
2023-02-13;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-13;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-13;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-13;;individuel;;0;RAS;False;1;;Valérie
2023-02-13;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-13;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-14;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-14;;individuel;;0;RAS;False;1;;Valérie
2023-02-14;;individuel;;0;RAS;False;1;;Joséphine
2023-02-14;;individuel;;0;RAS;False;1;;Saquiel
2023-02-14;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-14;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-14;;individuel;;0;RAS;False;1;;Augustine
2023-02-14;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-15;;individuel;;0;RAS;False;1;;Rémiel
2023-02-15;;individuel;;0;RAS;False;1;;Saquiel
2023-02-15;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-15;;individuel;;0;RAS;False;1;;Augustine
2023-02-15;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-15;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-15;;individuel;;0;RAS;False;1;;Valérie
2023-02-15;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-16;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-16;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-16;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-16;;individuel;;0;RAS;False;1;;Rémiel
2023-02-16;;individuel;;0;RAS;False;1;;Valérie
2023-02-16;;individuel;;0;RAS;False;1;;Augustine
2023-02-16;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-16;x(cassé);individuel;;1;cassé;False;1;;Saquiel
2023-02-17;;individuel;;0;RAS;False;1;;Valérie
2023-02-17;x(cassé);individuel;;1;cassé;False;1;;Pioupioute
2023-02-17;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-17;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-17;;individuel;;0;RAS;False;1;;Rémiel
2023-02-17;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-17;fin antibio;individuel;;0;RAS;False;1;fin antibio;Augustine
2023-02-17;;individuel;;0;RAS;False;1;;Saquiel
2023-02-18;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-18;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-18;;individuel;;0;RAS;False;1;;Saquiel
2023-02-18;;individuel;;0;RAS;False;1;;Augustine
2023-02-18;;individuel;;0;RAS;False;1;;Valérie
2023-02-18;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-18;;individuel;;0;RAS;False;1;;Pioupioute
2023-02-18;;individuel;;0;RAS;False;1;;Rémiel
2023-02-19;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-19;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-19;;individuel;;0;RAS;False;1;;Valérie
2023-02-19;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-19;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-19;;individuel;;0;RAS;False;1;;Saquiel
2023-02-19;;individuel;;0;RAS;False;1;;Augustine
2023-02-19;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-20;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-20;;individuel;;0;RAS;False;1;;Valérie
2023-02-20;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-20;;individuel;;0;RAS;False;1;;Cunégonde
2023-02-20;antibio;individuel;;0;RAS;False;1;antibio;Pioupioute
2023-02-20;;individuel;;0;RAS;False;1;;Augustine
2023-02-20;;individuel;;0;RAS;False;1;;Saquiel
2023-02-20;;individuel;;0;RAS;False;1;;Rémiel
2023-02-21;x;individuel;;1;RAS;False;1;;Cunégonde
2023-02-21;x;individuel;;1;RAS;False;1;;Joséphine
2023-02-21;;individuel;;0;RAS;False;1;;Saquiel
2023-02-21;x;individuel;;1;RAS;False;1;;Rémiel
2023-02-21;;individuel;;0;RAS;False;1;;Valérie
2023-02-21;;individuel;;0;RAS;False;1;;Augustine
2023-02-21;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-02-21;x;individuel;;1;RAS;False;1;;Pioupioute
2023-02-22;;individuel;;0;RAS;False;1;;Saquiel
