Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
01/08/2023,27,21,0,beau,découverte de poux rouges/retour dans l'ancien poulailler/T°p=T°ext,Joséphine,,no egg,RAS,0
02/08/2023,24,24,0,couvert/vent,"retour dans le poulailler ""terrasse""",Joséphine,x,RAS,RAS,1
03/08/2023,28,24,3,beau/couvert/pluie,traitement exzolt,Joséphine,,no egg,RAS,0
04/08/2023,17,,0,bruine/éclaircies,,Joséphine,x,RAS,RAS,1
05/08/2023,18,18,13,giboulées,1 œuf cassé et 1 œuf mou/retour ancien poulailler,Joséphine,,no egg,RAS,0
06/08/2023,22,20,0,éclaircies,,Joséphine,x,RAS,RAS,1
07/08/2023,23,20,1,Bruine/éclaircies/vent,,Joséphine,x,RAS,RAS,1
08/08/2023,23,,0,beau,0 œuf,Joséphine,,no egg,RAS,0
09/08/2023,28,20,0,beau,0 oeuf/T°C poulailler à 22-23h,Joséphine,,no egg,RAS,0
10/08/2023,30,21,0,beau,traitement exzolt,Joséphine,x,RAS,RAS,1
11/08/2023,30,25,0,beau,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
12/08/2023,33,21,0,Brumeux/beau,avhydratC+Gascodrène,Joséphine,,no egg,RAS,0
13/08/2023,32,23,0,beau,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
14/08/2023,30,26,0,voilé,avhydratC+Gascodrène,Joséphine,,no egg,RAS,0
15/08/2023,32,26,0,beau/vent,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
16/08/2023,26,23,"0,5",pluie fine/couvert,,Joséphine,,no egg,RAS,0
17/08/2023,25,23,0,couvert,,Joséphine,x,RAS,RAS,1
18/08/2023,32,26,0,bruine le matin,avhydrat C+gascodrène,Joséphine,x,RAS,RAS,1
19/08/2023,32,26,0,voilé/vent,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
20/08/2023,34,26,0,vigilance canicule,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
21/08/2023,37,29,0,canicule,avhydratC+Gascodrène,Joséphine,x,RAS,RAS,1
22/08/2023,34,26,0,canicule,idem,Joséphine,,no egg,RAS,0
23/08/2023,36,27,0,canicule,C+Gasco/ nuit tropicale 27°c/ 73% H à 22h40,Joséphine,x,RAS,RAS,1
24/08/2023,40,28,0,canicule,C+Gasco,Joséphine,x,RAS,RAS,1
25/08/2023,"40,5",28,0,canicule,c+Gasco,Joséphine,,no egg,RAS,0
26/08/2023,23,20,3,pluie/couvert,,Joséphine,x,RAS,RAS,1
