Date,Nom de la poule,Ponte,Nombre d'oeufs,Etat de l'oeuf,Evènement
27/04/2023,Albertine,,0,no egg,RAS
28/04/2023,Albertine,x,1,RAS,RAS
29/04/2023,Albertine,,0,no egg,RAS
30/04/2023,Albertine,x,1,RAS,RAS
01/05/2023,Albertine,x,1,RAS,RAS
02/05/2023,Albertine,x,1,RAS,RAS
03/05/2023,Albertine,,0,no egg,RAS
04/05/2023,Albertine,x,1,RAS,RAS
05/05/2023,Albertine,,0,no egg,RAS
06/05/2023,Albertine,,0,no egg,RAS
07/05/2023,Albertine,x(cassé),1,cassé,RAS
08/05/2023,Albertine,,0,no egg,RAS
09/05/2023,Albertine,x,1,RAS,RAS
10/05/2023,Albertine,,0,no egg,RAS
11/05/2023,Albertine,x,1,RAS,RAS
12/05/2023,Albertine,x,1,RAS,RAS
13/05/2023,Albertine,,0,no egg,RAS
14/05/2023,Albertine,,0,no egg,RAS
15/05/2023,Albertine,x,1,RAS,RAS
16/05/2023,Albertine,x(cassé),1,cassé,RAS
17/05/2023,Albertine,x,1,RAS,RAS
18/05/2023,Albertine,x,1,RAS,RAS
19/05/2023,Albertine,,0,no egg,RAS
20/05/2023,Albertine,x,1,RAS,RAS
21/05/2023,Albertine,,0,no egg,RAS
22/05/2023,Albertine,x,1,RAS,RAS
23/05/2023,Albertine,x,1,RAS,RAS
24/05/2023,Albertine,,0,no egg,RAS
25/05/2023,Albertine,x,1,RAS,RAS
26/05/2023,Albertine,,0,no egg,RAS
27/05/2023,Albertine,x,1,RAS,RAS
28/05/2023,Albertine,,0,no egg,RAS
29/05/2023,Albertine,x,1,RAS,RAS
30/05/2023,Albertine,x,1,RAS,RAS
31/05/2023,Albertine,,0,no egg,RAS
01/06/2023,Albertine,x,1,RAS,RAS
02/06/2023,Albertine,,0,no egg,RAS
03/06/2023,Albertine,x,1,RAS,RAS
04/06/2023,Albertine,x,1,RAS,RAS
05/06/2023,Albertine,,0,no egg,RAS
06/06/2023,Albertine,x,1,RAS,RAS
07/06/2023,Albertine,,0,no egg,RAS
08/06/2023,Albertine,x?,1,pondeuse incertaine,RAS
09/06/2023,Albertine,x,1,RAS,RAS
10/06/2023,Albertine,,0,no egg,RAS
11/06/2023,Albertine,,0,no egg,RAS
12/06/2023,Albertine,,0,no egg,RAS
13/06/2023,Albertine,,0,no egg,RAS
14/06/2023,Albertine,x(cassé),1,cassé,RAS
15/06/2023,Albertine,,0,no egg,RAS
16/06/2023,Albertine,x,1,RAS,RAS
17/06/2023,Albertine,,0,no egg,RAS
18/06/2023,Albertine,,0,no egg,RAS
19/06/2023,Albertine,x,1,RAS,RAS
20/06/2023,Albertine,x,1,RAS,RAS
21/06/2023,Albertine,,0,no egg,RAS
22/06/2023,Albertine,x,1,RAS,RAS
23/06/2023,Albertine,,0,no egg,RAS
24/06/2023,Albertine,,0,no egg,RAS
25/06/2023,Albertine,x,1,RAS,RAS
26/06/2023,Albertine,,0,no egg,RAS
27/06/2023,Albertine,x,1,RAS,RAS
28/06/2023,Albertine,,0,no egg,RAS
29/06/2023,Albertine,x,1,RAS,RAS
30/06/2023,Albertine,,0,no egg,RAS
01/07/2023,Albertine,,0,no egg,RAS
02/07/2023,Albertine,,0,no egg,RAS
03/07/2023,Albertine,x,1,RAS,RAS
04/07/2023,Albertine,x,1,RAS,RAS
05/07/2023,Albertine,,0,no egg,RAS
06/07/2023,Albertine,x,1,RAS,RAS
07/07/2023,Albertine,,0,no egg,RAS
08/07/2023,Albertine,x,1,RAS,RAS
09/07/2023,Albertine,,0,no egg,RAS
10/07/2023,Albertine,,0,no egg,RAS
11/07/2023,Albertine,,0,no egg,RAS
12/07/2023,Albertine,x(cassé),1,cassé,RAS
13/07/2023,Albertine,,0,no egg,RAS
14/07/2023,Albertine,x,1,RAS,RAS
15/07/2023,Albertine,,0,no egg,RAS
16/07/2023,Albertine,,0,no egg,RAS
17/07/2023,Albertine,,0,no egg,RAS
18/07/2023,Albertine,,0,no egg,RAS
19/07/2023,Albertine,,0,no egg,RAS
20/07/2023,Albertine,,0,no egg,RAS
21/07/2023,Albertine,x,1,RAS,RAS
22/07/2023,Albertine,,0,no egg,RAS
