Date;Texte;Année;Catégorie;Poules_Cités
2025-05-19;alerte orange orages pour l’après midi;2025;Météo / Environnement;Aucune
2025-05-19;tempête en fin de journée;2025;Météo / Environnement;Aucune
2025-05-20;vent;2025;Météo / Environnement;Aucune
2025-05-21;vent;2025;Météo / Environnement;Aucune
2025-05-22;vent;2025;Météo / Environnement;Aucune
2025-06-01;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-06-01;orage vers 21h30;2025;Météo / Environnement;Aucune
2025-06-05;un œuf de marans trouvé ds le poulailler du coq : Albertine ou Nina;2025;Localisation Œufs;Albertine, Nina, Marans
2025-06-05;Calcium pour Valérie+P+T;2025;Santé / Soins;Valérie
2025-06-09;ciel bizarre, fumée du Canada;2025;Météo / Environnement;Aucune
2025-06-10;fumée du Canada;2025;Météo / Environnement;Aucune
2025-06-11;vent;2025;Météo / Environnement;Aucune
2025-06-11;dernier jour calcium;2025;Santé / Soins;Aucune
2025-06-11;vit C+oligoélément;2025;Santé / Soins;Aucune
2025-06-11;fumée Canada;2025;Météo / Environnement;Aucune
2025-06-12;fumée du Canada;2025;Météo / Environnement;Aucune
2025-06-13;vent;2025;Météo / Environnement;Aucune
2025-06-13;fumée Canada+sable Sahara;2025;Météo / Environnement;Aucune
2025-06-14;œuf de Cunégonde trouvé dans le poulailler+1 dans le pondoire aujourd’hui !!!;2025;Localisation Œufs;Cunégonde
2025-06-16;vent;2025;Météo / Environnement;Aucune
2025-06-18;vent;2025;Météo / Environnement;Aucune
2025-06-19;cure calcium à refaire;2025;Santé / Soins;Aucune
2025-06-19;vitC;2025;Santé / Soins;Aucune
2025-06-20;œuf de Tina cassé;2025;Anomalies Œufs;Tina
2025-06-20;vitC;2025;Santé / Soins;Aucune
2025-06-21;exzolt;2025;Santé / Soins;Aucune
2025-06-21;vitC;2025;Santé / Soins;Aucune
2025-06-24;cunégonde semble s’apprêter à couver;2025;Comportement;Cunégonde
2025-06-25;vent;2025;Météo / Environnement;Aucune
2025-06-25;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-06-25;tempête vers 18h pdt 3/4h environ;2025;Météo / Environnement;Aucune
2025-06-27;œuf d’Albertine et Tina cassé;2025;Anomalies Œufs;Albertine, Tina
2025-06-28;exzolt;2025;Santé / Soins;Aucune
2025-06-28;vitC;2025;Santé / Soins;Aucune
2025-06-29;alerte orange canicule;2025;Météo / Environnement;Aucune
2025-06-30;alerte orange canicule;2025;Météo / Environnement;Aucune
2025-07-01;alerte orange canicule/35°C à 17h;2025;Météo / Environnement;Aucune
2025-07-01;oeuf de Tina tordu et rugueux;2025;Anomalies Œufs;Tina
2025-07-02;alerte jaune orage et canicule;2025;Météo / Environnement;Aucune
2025-07-02;vent;2025;Météo / Environnement;Aucune
2025-07-06;vent;2025;Météo / Environnement;Aucune
2025-07-06;Nina boite;2025;Comportement;Nina
2025-07-07;vent;2025;Météo / Environnement;Aucune
2025-07-08;vent;2025;Météo / Environnement;Aucune
2025-07-09;27°C à 15h40;2025;Météo / Environnement;Aucune
2025-07-12;vent;2025;Météo / Environnement;Aucune
2025-07-13;2 œufs de marans mou dans le poulailler du coq (Albertine et;2025;Anomalies Œufs;Albertine, Marans
2025-07-13;ou Nina);2025;Autre;Nina
2025-07-13;départ de Dark Vador;2025;Comportement;Aucune
2025-07-16;"rdv véto pour Nina ; traitement anti inflamatoire +antibiotique 5j, mise ce soir avec les poussins";2025;Santé / Soins;Nina
2025-07-20;vent;2025;Météo / Environnement;Aucune
2025-07-20;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-07-21;vent;2025;Météo / Environnement;Aucune
2025-07-23;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-07-26;vent;2025;Météo / Environnement;Aucune
2025-07-27;vent;2025;Météo / Environnement;Aucune
2025-07-28;vent;2025;Météo / Environnement;Aucune
2025-07-29;vent;2025;Météo / Environnement;Aucune
2025-07-30;vent;2025;Météo / Environnement;Aucune
2025-08-01;Nina décédée;2025;Santé / Soins;Nina
2025-08-03;vent;2025;Météo / Environnement;Aucune
2025-08-05;vent;2025;Météo / Environnement;Aucune
2025-08-06;vent;2025;Météo / Environnement;Aucune
2025-08-07;alerte jaune canicule/33°C à 18h;2025;Météo / Environnement;Aucune
2025-08-08;vent;2025;Météo / Environnement;Aucune
2025-08-08;Alerte jaune canicule/33°C à 17h;2025;Météo / Environnement;Aucune
2025-08-09;vigilance orange canicule/33°C à 19h;2025;Météo / Environnement;Aucune
2025-08-10;vigilance orange canicule/34°C à 18h30;2025;Météo / Environnement;Aucune
2025-08-11;alerte orange canicule/37°C à 18h;2025;Météo / Environnement;Aucune
2025-08-12;alerte orange canicule/37°C à 17h;2025;Météo / Environnement;Aucune
2025-08-12;Albertine fatiguée;2025;Santé / Soins;Albertine
2025-08-13;alerte orange canicule;2025;Météo / Environnement;Aucune
2025-08-13;alerte jaune orage/36°c à 17h;2025;Météo / Environnement;Aucune
2025-08-13;tempête vers 17h/23°C à 18h30;2025;Météo / Environnement;Aucune
2025-08-14;alerte orange canicule/31°C à 17h;2025;Météo / Environnement;Aucune
2025-08-15;alerte orange canicule/34°C à 17h30;2025;Météo / Environnement;Aucune
2025-08-16;tina veut pondre;2025;Installation / Technique;Tina
2025-08-16;fumée d’Espagne/35°C à 18h;2025;Météo / Environnement;Aucune
2025-08-17;Albertine mue;2025;Santé / Soins;Albertine
2025-08-17;fumée d’Espagne/32°C à 17h;2025;Météo / Environnement;Aucune
2025-08-18;alerte jaune orage/26°C à 17h30;2025;Météo / Environnement;Aucune
2025-08-19;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-08-21;vent;2025;Météo / Environnement;Aucune
2025-08-27;alerte orange orage;2025;Météo / Environnement;Aucune
2025-08-28;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-08-28;vent;2025;Météo / Environnement;Aucune
2025-08-29;vent en fin de journée;2025;Météo / Environnement;Aucune
2025-08-31;vent;2025;Météo / Environnement;Aucune
2025-08-31;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-09-03;vent;2025;Météo / Environnement;Aucune
2025-09-04;vent;2025;Météo / Environnement;Aucune
2025-09-06;vent;2025;Météo / Environnement;Aucune
2025-09-07;vent;2025;Météo / Environnement;Aucune
2025-09-07;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-09-08;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-09-14;vent;2025;Météo / Environnement;Aucune
2025-09-18;vent;2025;Météo / Environnement;Aucune
2025-09-19;vent;2025;Météo / Environnement;Aucune
2025-09-20;vent;2025;Météo / Environnement;Aucune
2025-09-20;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-09-21;vent;2025;Météo / Environnement;Aucune
2025-09-21;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-09-22;vent;2025;Météo / Environnement;Aucune
2025-09-24;vent;2025;Météo / Environnement;Aucune
2025-09-29;vent;2025;Météo / Environnement;Aucune
2025-09-30;vent;2025;Météo / Environnement;Aucune
2025-10-01;vent;2025;Météo / Environnement;Aucune
2025-10-04;vent;2025;Météo / Environnement;Aucune
2025-10-04;tempête en fin de journée;2025;Météo / Environnement;Aucune
2025-10-05;vent;2025;Météo / Environnement;Aucune
2025-10-08;vent;2025;Météo / Environnement;Aucune
2025-10-09;vent;2025;Météo / Environnement;Aucune
2025-10-21;vent;2025;Météo / Environnement;Aucune
2025-10-23;vent violent;2025;Météo / Environnement;Aucune
2025-10-23;alerte jaune vent;2025;Météo / Environnement;Aucune
